date,open,high,low,close,volume,daily return,cumulative return
2023-03-07,153.7,154.0299,151.13,151.6,56182028,-0.014496522134824219,0.029401779045290732
2023-03-08,152.81,153.47,151.83,152.87,47204791,0.008377308707124165,0.038025395532016004
2023-03-09,153.559,154.535,150.225,150.59,53833582,-0.014914633348596884,0.022543627351123696
2023-03-10,150.21,150.94,147.6096,148.5,68572400,-0.01387874360847341,0.008352006518639099
2023-03-13,147.805,153.14,147.7,150.47,84457122,0.013265993265993314,0.021728797446866288
2023-03-14,151.28,153.4,150.1,152.59,73695893,0.014089187213398136,0.03612412575541524
2023-03-15,151.19,153.245,149.92,152.99,77167866,0.0026214037617144914,0.038840225436273634
2023-03-16,152.16,156.46,151.64,155.85,76254419,0.01869403228969202,0.05826033815441023
2023-03-17,156.08,156.74,154.28,155.0,98944633,-0.005453962143086244,0.05248862633258633
2023-03-20,155.07,157.82,154.15,157.4,73641415,0.015483870967742064,0.06878522441773627
2023-03-21,157.32,159.4,156.54,159.28,73938285,0.011944091486658204,0.08155089291777018
2023-03-22,159.3,162.14,157.81,157.83,75701811,-0.009103465595178273,0.07170503157465902
2023-03-23,158.83,161.5501,157.68,158.93,67622060,0.006969524171577035,0.07917430569701933
2023-03-24,158.86,160.34,157.85,160.25,59256343,0.008305543320958897,0.08813743464385171
2023-03-27,159.94,160.77,157.87,158.28,52390266,-0.012293291731669265,0.07476064371562474
2023-03-28,157.97,158.49,155.98,157.65,45992152,-0.003980288097043205,0.0704827867182729
2023-03-29,159.37,161.05,159.35,160.77,51305691,0.019790675547098013,0.09166836422896751
2023-03-30,161.53,162.47,161.271,162.36,49501689,0.009889904832991236,0.10246486046037928
2023-03-31,162.44,165.0,161.91,164.9,68749792,0.015644247351564333,0.11971209343382938
2023-04-03,164.27,166.29,164.22,166.17,56976187,0.00770163735597329,0.12833570992055443
2023-04-04,166.595,166.84,165.11,165.63,46278295,-0.00324968405849424,0.12466897535139587
2023-04-05,164.74,165.05,161.8,163.76,51511744,-0.011290225200748738,0.11197120934338334
2023-04-06,162.43,164.9584,162.0,164.66,45390123,0.005495847581827196,0.11808243362531456
2023-04-10,161.42,162.03,160.08,162.03,47716882,-0.015972306571116257,0.10022407822367119
2023-04-11,162.35,162.36,160.51,160.8,47644217,-0.007591186817256013,0.09187207170503209
2023-04-12,161.22,162.06,159.78,160.1,50133062,-0.0043532338308458485,0.08711889726352995
2023-04-13,161.63,165.8,161.42,165.56,68445649,0.034103685196752,0.12419365790724557
2023-04-14,164.59,166.32,163.82,165.21,49386480,-0.0021140372070548308,0.1218170706864945
2023-04-17,165.09,165.39,164.03,165.23,41516217,0.00012105804733364423,0.12195287567053725
2023-04-18,166.1,167.41,165.65,166.47,49923008,0.007504690431519689,0.13037278468119795
2023-04-19,165.8,168.16,165.54,167.63,47720166,0.006968222502552912,0.13824947375568697
2023-04-20,166.09,167.87,165.56,166.65,52456377,-0.005846208912485773,0.13159502953758428
2023-04-21,165.05,166.4521,164.49,165.02,58337341,-0.009780978097809756,0.12052692333808679
2023-04-24,165.0,165.6,163.89,165.33,41949581,0.0018785601745243685,0.12263190059075213
2023-04-25,165.19,166.305,163.73,163.77,48714063,-0.009435674106332836,0.11203911183540471
2023-04-26,163.055,165.28,162.8,163.76,45498796,-6.106124442828431e-05,0.11197120934338312
2023-04-27,165.19,168.56,165.19,168.41,64902329,0.028395212506106438,0.14354586813336057
2023-04-28,168.49,169.85,167.8801,169.68,55275851,0.007541119885992487,0.15216948462008562
2023-05-01,169.28,170.45,168.64,169.59,52472936,-0.0005304101838755626,0.15155836219189256
2023-05-02,170.09,170.35,167.54,168.54,48425696,-0.0061914027949762085,0.14442860052963935
2023-05-03,169.5,170.92,167.16,167.45,65136018,-0.006467307464103511,0.1370272288993004
2023-05-04,164.89,167.04,164.31,165.79,81235427,-0.009913406987160367,0.12575541522373856
2023-05-05,170.975,174.3,170.76,173.57,113453171,0.04692683515290419,0.17858355401643222
2023-05-08,172.48,173.85,172.11,173.5,55962793,-0.0004032955003744343,0.17810823657228214
2023-05-09,173.05,173.54,171.6,171.77,45326874,-0.009971181556195918,0.1663611054525702
2023-05-10,173.02,174.03,171.9,173.555,53724501,0.010391802992373522,0.17848170027840027
2023-05-11,173.85,174.59,172.17,173.75,49514676,0.0011235631356054654,0.17980579887281878
2023-05-12,173.62,174.06,171.0,172.57,45533138,-0.0067913669064748605,0.17179330481428678
2023-05-15,173.16,173.21,171.47,172.07,37266659,-0.0028973749782696956,0.16839818021321395
2023-05-16,171.99,173.1383,171.7991,172.07,42110293,0.0,0.16839818021321395
2023-05-17,171.71,172.925,170.4201,172.69,57951604,0.003603184750392341,0.17260813471854441
2023-05-18,173.0,175.24,172.58,175.05,65496657,0.013666106896751407,0.1886331228356084
2023-05-19,176.39,176.39,174.94,175.16,55809475,0.0006283918880318762,0.1893800502478442
2023-05-22,173.98,174.71,173.45,174.2,43570932,-0.005480703356930849,0.18286141101378428
2023-05-23,173.13,173.3794,171.275,171.56,50747263,-0.015154994259471755,0.16493515312011975
2023-05-24,171.09,172.4183,170.52,171.84,45143488,0.0016320820704127659,0.16683642289672074
2023-05-25,172.41,173.895,171.69,172.99,56058258,0.006692271880819334,0.17464520947918838
2023-05-26,173.32,175.77,173.11,175.43,54834975,0.014104861552690862,0.19121341753242382
2023-05-30,176.96,178.99,176.57,177.3,55964401,0.010659522316593506,0.20391118354043636
2023-05-31,177.325,179.35,176.76,177.25,99625288,-0.0002820078962211259,0.20357167108032903
2023-06-01,177.7,180.12,176.9306,180.09,68901809,0.01602256699576876,0.22285597881442287
2023-06-02,181.03,181.78,179.26,180.95,61996913,0.004775390082736308,0.22869559312826815
2023-06-05,182.63,184.951,178.035,179.58,121946497,-0.0075711522520032215,0.21939295172132867
2023-06-06,179.965,180.12,177.43,179.21,64848374,-0.0020603630693841746,0.21688055951653462
2023-06-07,178.44,181.21,177.32,177.82,61944615,-0.007756263601361613,0.20744211312555194
2023-06-08,177.895,180.84,177.46,180.57,50214881,0.01546507704420197,0.22611529843145273
2023-06-09,181.5,182.23,180.63,180.96,48899973,0.002159827213823018,0.22876349562028975
2023-06-12,181.27,183.89,180.97,183.79,54754995,0.015638815207780654,0.247979900862362
2023-06-13,182.8,184.15,182.44,183.31,54929129,-0.0026116763697697776,0.24472058124533214
2023-06-14,183.37,184.39,182.02,183.95,57462882,0.003491353444983858,0.24906634073470535
2023-06-15,183.96,186.52,183.78,186.01,65433166,0.011198695297635286,0.2630542540911256
2023-06-16,186.73,186.99,184.27,184.92,101256225,-0.005859900005376062,0.25565288246078666
2023-06-20,184.41,186.1,184.41,185.01,49799092,0.0004866969500325613,0.25626400488897993
2023-06-21,184.9,185.41,182.5901,183.96,49515697,-0.00567536889897835,0.24913424322672695
2023-06-22,183.74,187.045,183.67,187.0,51245327,0.016525331593824744,0.2697766008012499
2023-06-23,185.55,187.56,185.01,186.68,53116996,-0.0017112299465240621,0.26760372105656316
2023-06-26,186.83,188.05,185.23,185.27,48088661,-0.007553031926290976,0.2580294696815377
2023-06-27,185.89,188.39,185.67,188.06,50730846,0.015059102930857549,0.27697426495552424
2023-06-28,187.93,189.9,187.6,189.25,51216801,0.006327767733701917,0.2850546615060776
2023-06-29,189.08,190.07,188.94,189.59,46347308,0.001796565389696081,0.2873633462348071
2023-06-30,191.63,194.48,191.26,193.97,85213216,0.02310248430824413,0.31710463774020536
2023-07-03,193.78,193.88,191.76,192.46,31458198,-0.007784708975614785,0.3068513614449653
2023-07-05,191.565,192.98,190.62,191.33,46920261,-0.005871349890886446,0.2991783798465406
2023-07-06,189.84,192.02,189.2,191.81,45156009,0.0025087545079180984,0.30243769946357024
2023-07-07,191.41,192.67,190.24,190.68,46814998,-0.005891246546061213,0.2947647178651456
2023-07-10,189.26,189.99,187.035,188.61,59922163,-0.010855884203901822,0.28070890201670395
2023-07-11,189.16,189.3,186.6,188.08,46638119,-0.002810031281480274,0.27711006993956677
2023-07-12,189.68,191.7,188.47,189.77,60750248,0.008985538068906784,0.288585591091193
2023-07-13,190.5,191.19,189.78,190.54,41342338,0.004057543341940084,0.29381408297684497
2023-07-14,190.23,191.1799,189.63,190.69,41616242,0.000787236275847647,0.29483262035716695
2023-07-17,191.9,194.32,191.81,193.99,50520159,0.017305574492632037,0.3172404427242479
2023-07-18,193.35,194.33,192.415,193.73,48353774,-0.0013402752719213762,0.3154749779316899
2023-07-19,193.1,198.23,192.65,195.1,80507323,0.007071697723636028,0.3247776193386296
2023-07-20,195.09,196.47,192.495,193.13,59581196,-0.010097385955920024,0.3114008284104026
2023-07-21,194.1,194.97,191.23,191.94,71951683,-0.00616165277274372,0.30332043185984925
2023-07-24,193.41,194.91,192.25,192.75,45505097,0.004220068771491059,0.3088205337135872
2023-07-25,193.33,194.44,192.915,193.62,37283201,0.004513618677042919,0.3147280505194541
2023-07-26,193.67,195.64,193.32,194.5,47471868,0.004544985022208348,0.3207034698173421
2023-07-27,196.02,197.2,192.55,193.22,47460180,-0.006580976863753252,0.31201195083859545
2023-07-28,194.67,196.626,194.14,195.83,48291443,0.013507918434944699,0.32973450125619586
2023-07-31,196.06,196.49,195.26,196.45,38824113,0.0031660113363629616,0.33394445576152587
2023-08-01,196.235,196.73,195.28,195.605,35281426,-0.0043013489437515595,0.32820669518571277
2023-08-02,195.04,195.18,191.8507,192.58,50389327,-0.015464839855831802,0.307666191349222
2023-08-03,191.57,192.37,190.69,191.17,62243282,-0.007321632568283443,0.29809193997419636
2023-08-04,185.52,187.38,181.92,181.99,115956841,-0.048020086833708064,0.23575745229849887
2023-08-07,182.13,183.13,177.35,178.85,97576069,-0.01725369525798126,0.2144360698037613
2023-08-08,179.69,180.27,177.58,179.8,67823003,0.005311713726586564,0.22088680654579984
2023-08-09,180.87,180.93,177.01,178.19,60378492,-0.008954393770856606,0.2099545053303451
2023-08-10,179.48,180.75,177.6,177.97,54686851,-0.0012346371850272542,0.20846065050587304
2023-08-11,177.32,178.62,176.55,177.79,52036672,-0.0010114064168118553,0.2072384056494867
2023-08-14,177.97,179.69,177.305,179.46,43675627,0.00939310422408468,0.21857812181707015
2023-08-15,178.88,179.48,177.05,177.45,43622593,-0.011200267469073988,0.20492972092075723
2023-08-16,177.13,178.54,176.5,176.57,46964857,-0.004959143420681822,0.19895430162286898
2023-08-17,177.14,177.5054,173.48,174.0,66062882,-0.014555133941213105,0.18150336117335453
2023-08-18,172.3,175.1,171.96,174.49,61172150,0.0028160919540229923,0.18483058328240598
2023-08-21,175.07,176.13,173.735,175.84,46311879,0.007736833056335657,0.1939974197053027
2023-08-22,177.06,177.68,176.25,177.23,42084245,0.00790491355777978,0.20343586609628517
2023-08-23,178.52,181.55,178.325,181.12,52722752,0.021948879986458447,0.22984993549263222
2023-08-24,180.674,181.104,176.01,176.38,54945798,-0.026170494699646718,0.1976641542744615
2023-08-25,177.38,179.15,175.82,178.61,51449594,0.012643156820501211,0.21280640999524647
2023-08-28,180.09,180.59,178.545,180.19,43820697,0.008846089244723077,0.22353500373463664
2023-08-29,179.695,184.9,179.5,184.12,53003948,0.02181031133803213,0.2502206830990694
2023-08-30,184.94,187.85,184.74,187.65,60813888,0.01917227894851181,0.2741902627826438
2023-08-31,187.84,189.12,187.48,187.87,60794467,0.0011723954169997608,0.27568411760711586
2023-09-01,189.485,189.92,188.28,189.46,45766503,0.00846329908979615,0.28648061383852763
2023-09-05,188.28,189.98,187.61,189.7,45280027,0.0012667581547554096,0.2881102736470422
2023-09-06,188.4,188.85,181.47,182.91,81755816,-0.035793357933579295,0.24200448156447285
2023-09-07,175.18,178.21,173.54,177.56,112488803,-0.02924935760756653,0.20567664833299326
2023-09-08,178.35,180.239,177.79,178.18,65602066,0.00349177742734863,0.20988660283832372
2023-09-11,180.07,180.3,177.34,179.36,58953052,0.0066225165562914245,0.21789909689685572
2023-09-12,179.49,180.13,174.82,176.3,90370192,-0.017060660124888494,0.1971209343382898
2023-09-13,176.51,177.3,173.98,174.21,84267928,-0.011854792966534355,0.1829293135058052
2023-09-14,174.0,176.1,173.58,175.74,60895757,0.008782503874634084,0.19331839478508828
2023-09-15,176.48,176.495,173.82,175.01,109259461,-0.004153863662228363,0.18836151286752179
2023-09-18,176.48,179.38,176.17,177.97,67257573,0.016913319238900604,0.20846065050587304
2023-09-19,177.52,179.63,177.13,179.07,51826941,0.006180816991627758,0.21592992462823335
2023-09-20,179.26,179.695,175.4,175.49,58436181,-0.019992181828335176,0.19162083248455186
2023-09-21,174.55,176.3,173.86,173.93,63149116,-0.008889395407145728,0.18102804372920445
2023-09-22,174.67,177.079,174.05,174.79,56725385,0.004944517909503787,0.18686765804304972
2023-09-25,174.2,176.97,174.15,176.08,46172740,0.007380284913324653,0.19562707951381775
2023-09-26,174.82,175.2,171.66,171.96,64588945,-0.023398455247614747,0.16765125280097726
2023-09-27,172.62,173.04,169.05,170.43,66921808,-0.008897418004186974,0.15726217152169442
2023-09-28,169.34,172.03,167.62,170.69,56294419,0.0015255530129671957,0.1590276363142522
2023-09-29,172.02,173.07,170.341,171.21,51861083,0.0030464584920031346,0.162558565899368
2023-10-02,171.22,174.3,170.93,173.75,52164535,0.014835582033759565,0.1798057988728179
2023-10-03,172.255,173.63,170.82,172.4,49594613,-0.007769784172661831,0.17063896244992116
2023-10-04,171.09,174.21,170.97,173.66,53020286,0.007308584686774866,0.1791946764446246
2023-10-05,173.79,175.45,172.68,174.91,48527918,0.007197973050788953,0.1876824879473069
2023-10-06,173.8,177.99,173.18,177.49,57266675,0.014750443085015164,0.20520133088884296
2023-10-09,176.81,179.05,175.8,178.99,42390772,0.008451180348188592,0.21538670469206145
2023-10-10,178.1,179.72,177.95,178.39,43698019,-0.003352142577797812,0.21131255517077374
2023-10-11,178.2,179.85,177.6,179.8,47551098,0.007904030494983116,0.2208868065457994
2023-10-12,180.07,182.34,179.04,180.71,56743119,0.0050611790878754,0.227065933319752
2023-10-13,181.42,181.93,178.14,178.85,51456082,-0.010292734215040733,0.21443606980376084
2023-10-16,176.75,179.075,176.51,178.72,52516984,-0.0007268660889012679,0.21355333740748206
2023-10-17,176.645,178.42,174.8,177.15,57549350,-0.008784691136973999,0.20289264616011327
2023-10-18,175.58,177.575,175.11,175.84,54764375,-0.007394863110358418,0.1939974197053025
2023-10-19,176.04,177.84,175.19,175.46,59302863,-0.002161055505004561,0.19141712500848707
2023-10-20,175.31,175.42,172.64,172.88,64489713,-0.014704206086857519,0.17389828206695102
